[main] TRACE | org.springframework.context.annotation.AnnotationConfigApplicationContext | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@27e47833, started on Mon Jun 14 15:27:25 CEST 2021 (AbstractApplicationContext.java:626)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' (AbstractAutowireCapableBeanFactory.java:489)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' (AbstractAutowireCapableBeanFactory.java:526)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/excilys/cdb/persistence/] to resources [URL [file:/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/excilys/cdb/persistence/**/*.class] to resources [file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/CompanyDAO.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/ComputerDAO.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBCompanyDTO.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO$ComputerDTOBuilder.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper/DBCompanyMapper.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/mapper/DBComputerMapper.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/CompanyDAO.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/CompanyDAO.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/ComputerDAO.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dao/ComputerDAO.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBCompanyDTO.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Ignored because not matching any filter: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBCompanyDTO.class] (ClassPathScanningCandidateComponentProvider.java:447)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO$ComputerDTOBuilder.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Ignored because not matching any filter: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO$ComputerDTOBuilder.class] (ClassPathScanningCandidateComponentProvider.java:447)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Ignored because not matching any filter: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/persistence/dto/DBComputerDTO.class] (ClassPathScanningCandidateComponentProvider.java:447)
